Feature,Importance
fiModelDesc_D6KLGP,0.00022429102386288327
fiModelDesc_D8RLRC,0.00022249327949696646
fiBaseModel_350,0.0002213847306838777
fiModelDesc_D6RXL,0.00020845588516644545
fiBaseModel_14,0.0002039565486323271
fiSecondaryDesc_F,0.00020221346722148939
fiProductClassDesc_Motorgrader - 130.0 to 145.0 Horsepower,0.00019711583939724397
ProductGroupDesc_Track Excavators,0.00019526931947444907
Travel_Controls_None or Unspecified,0.00019520948994717735
fiModelSeries_7,0.00017977701358012454
fiModelSeries_-5L,0.0001686362885472272
fiProductClassDesc_Wheel Loader - 175.0 to 200.0 Horsepower,0.00016042386126372557
fiModelDesc_D6R,0.00015929119276368017
fiModelDesc_345BIIL,0.00014826570867427043
fiSecondaryDesc_Z,0.00014527425521945736
fiModelDesc_330BL,0.0001438006589698098
fiModelDesc_D7G,0.00014196402481149833
fiModelDesc_D5GLGP,0.00014122913824650567
"fiProductClassDesc_Track Type Tractor, Dozer - 260.0 + Horsepower",0.0001384508528929948
fiModelDesc_821C,0.0001364911235570869
fiModelSeries_LC,0.00013451035580638925
fiModelDesc_ZX330LC,0.00013077683207674638
fiBaseModel_821,0.00013037795006353329
fiBaseModel_D7,0.00012891190174757909
fiModelSeries_5,0.00012793468240483794
fiProductClassDesc_Motorgrader - 200.0 + Horsepower,0.00012734323032624506
sale_month,0.00012683647205410085
fiBaseModel_644,0.00012121774989984086
Maturity Date_2021-02-15,0.00012121433535702104
Blade_Extension_None or Unspecified,0.0001182671578619361
Drive_System_Four Wheel Drive,0.00011662729007196246
fiModelSeries_-1L,0.00011432838214265679
Price per $100,0.00011367418479679497
fiProductClassDesc_Motorgrader - 145.0 to 170.0 Horsepower,0.00011216310227385706
"fiProductClassDesc_Track Type Tractor, Dozer - 190.0 to 260.0 Horsepower",0.00011211245523798824
fiBaseModel_850,0.00010921825185798264
Transmission_Standard,0.0001074092996217072
fiProductClassDesc_Skid Steer Loader - 2201.0 to 2701.0 Lb Operating Capacity,0.00010401231597858395
sale_day,0.00010366405091900758
"fiProductClassDesc_Hydraulic Excavator, Track - 50.0 to 66.0 Metric Tons",0.00010351003601944565
Stick_Length_None or Unspecified,9.673650291974128e-05
"fiProductClassDesc_Hydraulic Excavator, Track - 14.0 to 16.0 Metric Tons",9.625587060345537e-05
fiBaseModel_GD655,9.595847154109258e-05
fiModelDesc_D6HII,9.424560287774442e-05
fiProductClassDesc_Skid Steer Loader - 1751.0 to 2201.0 Lb Operating Capacity,9.243405724969925e-05
fiBaseModel_E240,8.802637822534114e-05
"fiProductClassDesc_Hydraulic Excavator, Track - 33.0 to 40.0 Metric Tons",8.36889037098213e-05
fiModelDesc_544G,7.802414804376176e-05
fiBaseModel_D8,7.442260472118918e-05
"fiProductClassDesc_Track Type Tractor, Dozer - 160.0 to 190.0 Horsepower",7.41618177841947e-05
fiBaseModel_D10,6.478659783176222e-05
fiModelDesc_PC200-7,6.34710446870032e-05
fiModelDescriptor_6,6.327696997015897e-05
fiBaseModel_544,6.30163786823517e-05
auctioneer_sale_count,6.091751117538626e-05
"fiProductClassDesc_Hydraulic Excavator, Track - 24.0 to 28.0 Metric Tons",5.9447151974292385e-05
fiModelDesc_950G,5.601248194912956e-05
fiModelSeries_III,5.5823396457944664e-05
fiModelDesc_ZX200,5.450327690003608e-05
fiSecondaryDesc_SUPER M,5.33562156735408e-05
fiBaseModel_430,5.2635138948124586e-05
fiBaseModel_12,5.2228329557031155e-05
fiModelDesc_D10,5.07530325471836e-05
Ripper_Multi Shank,4.8489585465942866e-05
fiSecondaryDesc_US,4.493917118363508e-05
Enclosure_Type_High Profile,4.412593111733886e-05
auctioneerID,4.3823339857485474e-05
fiModelDesc_12G,4.289750227238875e-05
fiModelDesc_WA2505L,4.2752874601054726e-05
fiBaseModel_PC200,4.126519383597315e-05
fiModelDesc_950E,4.0919029928008957e-05
Travel_Controls_Finger Tip,4.090777471870172e-05
Differential_Type_Standard,4.027911679869039e-05
Hours_Available,3.8525306306043804e-05
fiBaseModel_140,3.7968171947029016e-05
fiModelDesc_310SG,3.7310820916226896e-05
fiModelSeries_-2,3.7131592189999993e-05
fiModelDesc_D7HII,3.5996314791979713e-05
fiBaseModel_730,3.5696200991732635e-05
saledate_1994-09-08,3.501886369007516e-05
fiModelDesc_PC220LC7,3.4844593265781615e-05
Scarifier_Yes,3.410285489670629e-05
state_Florida,3.2984063277394664e-05
Pushblock_Yes,3.279807478496298e-05
fiModelDesc_430D,3.2515139944952704e-05
fiModelDesc_140HNA,3.1559148995785586e-05
fiModelDesc_624G,3.044198992509156e-05
"Tire_Size_14""",3.0088195215269775e-05
fiModelDesc_PC400LC7,2.931362583954538e-05
saledate_2006-03-06,2.899617974375302e-05
sale_dayofweek,2.7639330904980996e-05
