per_idx,cat_idx,dt_idx,et_idx,geo_idx,is_adj,val
2,5,1,0,3,0,19.3
3,5,1,0,3,0,27.9
4,5,1,0,3,0,38.5
5,5,1,0,3,0,39.2
6,5,1,0,3,0,38.5
7,5,1,0,3,0,39.4
8,5,1,0,3,0,38.4
9,5,1,0,3,0,35.2
10,5,1,0,3,0,28.6
11,5,1,0,3,0,23.4
12,5,1,0,3,0,19.3
1,5,1,0,4,0,34.5
2,5,1,0,4,0,37.7
3,5,1,0,4,0,43.8
4,5,1,0,4,0,49.4
5,5,1,0,4,0,48.1
6,5,1,0,4,0,46.5
7,5,1,0,4,0,49.1
8,5,1,0,4,0,44
9,5,1,0,4,0,47.1
10,5,1,0,4,0,37.6
11,5,1,0,4,0,37.3
12,5,1,0,4,0,36.4
1,5,1,0,5,0,26.6
2,5,1,0,5,0,25.6
3,5,1,0,5,0,32.9
4,5,1,0,5,0,35.6
5,5,1,0,5,0,37.1
6,5,1,0,5,0,34.6
7,5,1,0,5,0,32.9
8,5,1,0,5,0,32.3
9,5,1,0,5,0,30.4
10,5,1,0,5,0,31.1
11,5,1,0,5,0,25.5
12,5,1,0,5,0,24.8
1,5,2,0,1,0,75.7
2,5,2,0,1,0,78.8
3,5,2,0,1,0,102.2
4,5,2,0,1,0,122.3
5,5,2,0,1,0,123.8
6,5,2,0,1,0,121.2
7,5,2,0,1,0,122.8
8,5,2,0,1,0,114.9
9,5,2,0,1,0,113.1
10,5,2,0,1,0,96.8
11,5,2,0,1,0,85.4
12,5,2,0,1,0,77
13,1,1,0,1,1,1092
14,1,1,0,1,1,1088
15,1,1,0,1,1,955
16,1,1,0,1,1,1016
17,1,1,0,1,1,1052
18,1,1,0,1,1,958
19,1,1,0,1,1,999
20,1,1,0,1,1,994
21,1,1,0,1,1,984
22,1,1,0,1,1,972
23,1,1,0,1,1,979
24,1,1,0,1,1,951
13,1,1,0,2,1,246
14,1,1,0,2,1,232
15,1,1,0,2,1,166
16,1,1,0,2,1,189
17,1,1,0,2,1,224
18,1,1,0,2,1,176
19,1,1,0,2,1,219
20,1,1,0,2,1,208
21,1,1,0,2,1,205
22,1,1,0,2,1,196
23,1,1,0,2,1,205
24,1,1,0,2,1,169
13,1,1,0,3,1,253
14,1,1,0,3,1,256
15,1,1,0,3,1,189
16,1,1,0,3,1,244
17,1,1,0,3,1,240
18,1,1,0,3,1,213
19,1,1,0,3,1,224
20,1,1,0,3,1,230
21,1,1,0,3,1,220
22,1,1,0,3,1,232
23,1,1,0,3,1,223
24,1,1,0,3,1,238
13,1,1,0,4,1,331
14,1,1,0,4,1,305
15,1,1,0,4,1,273
16,1,1,0,4,1,286
17,1,1,0,4,1,302
18,1,1,0,4,1,285
19,1,1,0,4,1,268
20,1,1,0,4,1,270
21,1,1,0,4,1,264
22,1,1,0,4,1,263
23,1,1,0,4,1,274
24,1,1,0,4,1,280
13,1,1,0,5,1,262
14,1,1,0,5,1,295
15,1,1,0,5,1,327
16,1,1,0,5,1,297
17,1,1,0,5,1,286
18,1,1,0,5,1,284
19,1,1,0,5,1,288
20,1,1,0,5,1,286
21,1,1,0,5,1,295
22,1,1,0,5,1,281
23,1,1,0,5,1,277
24,1,1,0,5,1,264
13,1,2,0,1,1,846
14,1,2,0,1,1,868
15,1,2,0,1,1,729
16,1,2,0,1,1,778
17,1,2,0,1,1,758
18,1,2,0,1,1,749
19,1,2,0,1,1,732
20,1,2,0,1,1,732
21,1,2,0,1,1,704
22,1,2,0,1,1,711
23,1,2,0,1,1,707
24,1,2,0,1,1,688
13,1,3,0,1,1,179
14,1,3,0,1,1,149
15,1,3,0,1,1,166
16,1,3,0,1,1,181
17,1,3,0,1,1,231
18,1,3,0,1,1,141
19,1,3,0,1,1,190
20,1,3,0,1,1,197
21,1,3,0,1,1,217
22,1,3,0,1,1,203
23,1,3,0,1,1,201
24,1,3,0,1,1,198
13,2,1,0,1,0,62.6
14,2,1,0,1,0,68.1
15,2,1,0,1,0,89
16,2,1,0,1,0,101.1
17,2,1,0,1,0,103.4
18,2,1,0,1,0,94.8
19,2,1,0,1,0,86.3
20,2,1,0,1,0,93.7
21,2,1,0,1,0,84.9
22,2,1,0,1,0,81.6
23,2,1,0,1,0,73.9
24,2,1,0,1,0,58.7
13,2,1,0,2,0,10.7
14,2,1,0,2,0,10.2
15,2,1,0,2,0,14
16,2,1,0,2,0,20.1
17,2,1,0,2,0,22.9
18,2,1,0,2,0,18
19,2,1,0,2,0,19.3
20,2,1,0,2,0,20.1
21,2,1,0,2,0,18.1
22,2,1,0,2,0,17.4
23,2,1,0,2,0,17
24,2,1,0,2,0,11.2
13,2,1,0,3,0,10
14,2,1,0,3,0,12.2
15,2,1,0,3,0,16.4
16,2,1,0,3,0,26.1
17,2,1,0,3,0,25.6
18,2,1,0,3,0,24.2
19,2,1,0,3,0,21.1
20,2,1,0,3,0,22.5
21,2,1,0,3,0,20.6
22,2,1,0,3,0,20.6
23,2,1,0,3,0,16.6
24,2,1,0,3,0,12.3
13,2,1,0,4,0,22.6
14,2,1,0,4,0,23.2
15,2,1,0,4,0,27.1
16,2,1,0,4,0,27.3
17,2,1,0,4,0,28.3
18,2,1,0,4,0,26.2
19,2,1,0,4,0,22.4
20,2,1,0,4,0,24.8
21,2,1,0,4,0,22.5
22,2,1,0,4,0,21.3
23,2,1,0,4,0,20.3
24,2,1,0,4,0,17.2
13,2,1,0,5,0,19.2
14,2,1,0,5,0,22.5
15,2,1,0,5,0,31.5
16,2,1,0,5,0,27.7
17,2,1,0,5,0,26.7
18,2,1,0,5,0,26.5
19,2,1,0,5,0,23.5
20,2,1,0,5,0,26.2
21,2,1,0,5,0,23.7
22,2,1,0,5,0,22.3
23,2,1,0,5,0,20
24,2,1,0,5,0,17.9
13,2,2,0,1,0,46.8
14,2,2,0,1,0,52.7
15,2,2,0,1,0,67.7
16,2,2,0,1,0,78.7
17,2,2,0,1,0,76.1
18,2,2,0,1,0,75.8
19,2,2,0,1,0,65.8
20,2,2,0,1,0,70
21,2,2,0,1,0,62.3
22,2,2,0,1,0,59.6
23,2,2,0,1,0,51.8
24,2,2,0,1,0,38.7
13,2,3,0,1,0,11.5
14,2,3,0,1,0,10.5
15,2,3,0,1,0,15
16,2,3,0,1,0,16.8
17,2,3,0,1,0,21.4
18,2,3,0,1,0,12.8
19,2,3,0,1,0,14.7
20,2,3,0,1,0,18
21,2,3,0,1,0,17.4
22,2,3,0,1,0,17
23,2,3,0,1,0,16.7
24,2,3,0,1,0,15.6
13,4,1,0,1,1,1460
14,4,1,0,1,1,1503
15,4,1,0,1,1,1109
16,4,1,0,1,1,1289
17,4,1,0,1,1,1271
18,4,1,0,1,1,1247
19,4,1,0,1,1,1197
20,4,1,0,1,1,1344
21,4,1,0,1,1,1097
22,4,1,0,1,1,1246
23,4,1,0,1,1,1246
24,4,1,0,1,1,1063
13,4,1,0,2,1,274
14,4,1,0,2,1,269
15,4,1,0,2,1,146
16,4,1,0,2,1,218
17,4,1,0,2,1,215
18,4,1,0,2,1,208
19,4,1,0,2,1,198
20,4,1,0,2,1,229
21,4,1,0,2,1,194
22,4,1,0,2,1,286
23,4,1,0,2,1,302
24,4,1,0,2,1,145
13,4,1,0,3,1,358
14,4,1,0,3,1,383
15,4,1,0,3,1,206
16,4,1,0,3,1,288
17,4,1,0,3,1,298
18,4,1,0,3,1,323
19,4,1,0,3,1,306
20,4,1,0,3,1,283
21,4,1,0,3,1,292
22,4,1,0,3,1,272
23,4,1,0,3,1,277
24,4,1,0,3,1,247
13,4,1,0,4,1,506
14,4,1,0,4,1,487
15,4,1,0,4,1,428
16,4,1,0,4,1,466
17,4,1,0,4,1,458
18,4,1,0,4,1,408
19,4,1,0,4,1,394
20,4,1,0,4,1,479
21,4,1,0,4,1,384
22,4,1,0,4,1,386
23,4,1,0,4,1,391
24,4,1,0,4,1,352
13,4,1,0,5,1,322
14,4,1,0,5,1,364
15,4,1,0,5,1,329
16,4,1,0,5,1,317
17,4,1,0,5,1,300
18,4,1,0,5,1,308
19,4,1,0,5,1,299
20,4,1,0,5,1,353
21,4,1,0,5,1,227
22,4,1,0,5,1,302
23,4,1,0,5,1,276
24,4,1,0,5,1,319
13,4,2,0,1,1,1211
14,4,2,0,1,1,1208
15,4,2,0,1,1,904
16,4,2,0,1,1,1049
17,4,2,0,1,1,1009
18,4,2,0,1,1,1003
19,4,2,0,1,1,947
20,4,2,0,1,1,1091
21,4,2,0,1,1,865
22,4,2,0,1,1,922
23,4,2,0,1,1,949
24,4,2,0,1,1,841
13,5,1,0,1,0,86
14,5,1,0,1,0,90.7
15,5,1,0,1,0,90.5
16,5,1,0,1,0,123
17,5,1,0,1,0,130.2
18,5,1,0,1,0,122.8
19,5,1,0,1,0,114.3
20,5,1,0,1,0,130.3
21,5,1,0,1,0,96.9
22,5,1,0,1,0,110.4
23,5,1,0,1,0,92.8
24,5,1,0,1,0,64.2
13,5,1,0,2,0,11.9
14,5,1,0,2,0,12.4
15,5,1,0,2,0,10.1
16,5,1,0,2,0,22
17,5,1,0,2,0,23.5
18,5,1,0,2,0,22.9
19,5,1,0,2,0,19.4
20,5,1,0,2,0,23.6
21,5,1,0,2,0,18.8
22,5,1,0,2,0,25.2
23,5,1,0,2,0,23
24,5,1,0,2,0,8.5
13,5,1,0,3,0,15.3
14,5,1,0,3,0,15.3
15,5,1,0,3,0,13.7
16,5,1,0,3,0,29
17,5,1,0,3,0,33.4
18,5,1,0,3,0,36
19,5,1,0,3,0,32.1
20,5,1,0,3,0,31.4
21,5,1,0,3,0,27.9
22,5,1,0,3,0,25.9
23,5,1,0,3,0,19.9
24,5,1,0,3,0,11.9
13,5,1,0,4,0,34.3
14,5,1,0,4,0,35.8
15,5,1,0,4,0,38
16,5,1,0,4,0,42.9
17,5,1,0,4,0,45
18,5,1,0,4,0,36.5
19,5,1,0,4,0,36.3
20,5,1,0,4,0,44.8
21,5,1,0,4,0,32.1
22,5,1,0,4,0,32.8
23,5,1,0,4,0,29.2
24,5,1,0,4,0,21.8
13,5,1,0,5,0,24.5
14,5,1,0,5,0,27.1
15,5,1,0,5,0,28.7
16,5,1,0,5,0,29.1
17,5,1,0,5,0,28.3
18,5,1,0,5,0,27.4
19,5,1,0,5,0,26.4
20,5,1,0,5,0,30.5
21,5,1,0,5,0,18.2
22,5,1,0,5,0,26.5
23,5,1,0,5,0,20.7
24,5,1,0,5,0,22
13,5,2,0,1,0,68.4
14,5,2,0,1,0,71.5
15,5,2,0,1,0,73.5
16,5,2,0,1,0,101
17,5,2,0,1,0,103.9
18,5,2,0,1,0,100.7
19,5,2,0,1,0,92.3
20,5,2,0,1,0,105.4
21,5,2,0,1,0,76.7
22,5,2,0,1,0,85.8
23,5,2,0,1,0,69.4
24,5,2,0,1,0,46
25,1,1,0,1,1,969
26,1,1,0,1,1,961
27,1,1,0,1,1,1000
28,1,1,0,1,1,1002
29,1,1,0,1,1,1027
30,1,1,0,1,1,1070
31,1,1,0,1,1,1083
32,1,1,0,1,1,1159
33,1,1,0,1,1,1098
34,1,1,0,1,1,1123
35,1,1,0,1,1,1152
36,1,1,0,1,1,1161
25,1,1,0,2,1,172
26,1,1,0,2,1,176
27,1,1,0,2,1,201
28,1,1,0,2,1,205
29,1,1,0,2,1,219
30,1,1,0,2,1,221
31,1,1,0,2,1,237
32,1,1,0,2,1,301
33,1,1,0,2,1,226
